Team,W,L,T,WP,GB,Year,League
Baltimore Orioles,101,61,0,0.62,0,2023,AL
Tampa Bay Rays,99,63,0,0.61,2,2023,AL
Toronto Blue Jays,89,73,0,0.55,12,2023,AL
New York Yankees,82,80,0,0.51,19,2023,AL
Boston Red Sox,78,84,0,0.48,23,2023,AL
Minnesota Twins,87,75,0,0.54,0,2023,AL
Detroit Tigers,78,84,0,0.48,9,2023,AL
Cleveland Guardians,76,86,0,0.47,11,2023,AL
Chicago White Sox,61,101,0,0.38,26,2023,AL
Kansas City Royals,56,106,0,0.35,31,2023,AL
Houston Astros,90,72,0,0.56,0,2023,AL
Texas Rangers,90,72,0,0.56,0,2023,AL
Seattle Mariners,88,74,0,0.54,2,2023,AL
Los Angeles Angels,73,89,0,0.45,17,2023,AL
Oakland Athletics,50,112,0,0.31,40,2023,AL
Atlanta Braves,104,58,0,0.64,0,2023,NL
Philadelphia Phillies,90,72,0,0.56,14,2023,NL
Miami Marlins,84,78,0,0.52,20,2023,NL
New York Mets,75,87,0,0.46,29,2023,NL
Washington Nationals,71,91,0,0.44,33,2023,NL
Milwaukee Brewers,92,70,0,0.57,0,2023,NL
Chicago Cubs,83,79,0,0.51,9,2023,NL
Cincinnati Reds,82,80,0,0.51,10,2023,NL
Pittsburgh Pirates,76,86,0,0.47,16,2023,NL
St. Louis Cardinals,71,91,0,0.44,21,2023,NL
Los Angeles Dodgers,100,62,0,0.62,0,2023,NL
Arizona Diamondbacks,84,78,0,0.52,16,2023,NL
San Diego Padres,82,80,0,0.51,18,2023,NL
San Francisco Giants,79,83,0,0.49,21,2023,NL
Colorado Rockies,59,103,0,0.36,41,2023,NL
New York Yankees,94,68,0,0.58,0,2024,AL
Baltimore Orioles,91,71,0,0.56,3,2024,AL
Boston Red Sox,81,81,0,0.5,13,2024,AL
Tampa Bay Rays,80,82,0,0.49,14,2024,AL
Toronto Blue Jays,74,88,0,0.46,20,2024,AL
Cleveland Guardians,92,69,0,0.57,0,2024,AL
Kansas City Royals,86,76,0,0.53,6,2024,AL
Detroit Tigers,86,76,0,0.53,6,2024,AL
Minnesota Twins,82,80,0,0.51,10,2024,AL
Chicago White Sox,41,121,0,0.25,52,2024,AL
Houston Astros,88,73,0,0.55,0,2024,AL
Seattle Mariners,85,77,0,0.52,4,2024,AL
Texas Rangers,78,84,0,0.48,10,2024,AL
Oakland Athletics,69,93,0,0.43,20,2024,AL
Los Angeles Angels,63,99,0,0.39,26,2024,AL
Philadelphia Phillies,95,67,0,0.59,0,2024,NL
Atlanta Braves,89,73,0,0.55,6,2024,NL
New York Mets,89,73,0,0.55,6,2024,NL
Washington Nationals,71,91,0,0.44,24,2024,NL
Miami Marlins,62,100,0,0.38,33,2024,NL
Milwaukee Brewers,93,69,0,0.57,0,2024,NL
Chicago Cubs,83,79,0,0.51,10,2024,NL
St. Louis Cardinals,83,79,0,0.51,10,2024,NL
Cincinnati Reds,77,85,0,0.48,16,2024,NL
Pittsburgh Pirates,76,86,0,0.47,17,2024,NL
Los Angeles Dodgers,98,64,0,0.6,0,2024,NL
San Diego Padres,93,69,0,0.57,5,2024,NL
Arizona Diamondbacks,89,73,0,0.55,9,2024,NL
San Francisco Giants,80,82,0,0.49,18,2024,NL
Colorado Rockies,61,101,0,0.38,37,2024,NL
New York Yankees,44,32,0,0.58,0,2025,AL
Tampa Bay Rays,43,34,0,0.56,2,2025,AL
Toronto Blue Jays,41,35,0,0.54,3,2025,AL
Boston Red Sox,40,38,0,0.51,5,2025,AL
Baltimore Orioles,33,43,0,0.43,11,2025,AL
Detroit Tigers,48,30,0,0.62,0,2025,AL
Cleveland Guardians,38,37,0,0.51,8,2025,AL
Kansas City Royals,38,39,0,0.49,10,2025,AL
Minnesota Twins,37,39,0,0.49,10,2025,AL
Chicago White Sox,24,53,0,0.31,24,2025,AL
Houston Astros,44,33,0,0.57,0,2025,AL
Seattle Mariners,38,37,0,0.51,5,2025,AL
Texas Rangers,38,39,0,0.49,6,2025,AL
Los Angeles Angels,37,39,0,0.49,6,2025,AL
Athletics,32,47,0,0.4,13,2025,AL
New York Mets,46,31,0,0.6,0,2025,NL
Philadelphia Phillies,46,31,0,0.6,0,2025,NL
Atlanta Braves,35,40,0,0.47,10,2025,NL
Washington Nationals,32,45,0,0.42,14,2025,NL
Miami Marlins,30,45,0,0.4,15,2025,NL
Chicago Cubs,46,30,0,0.6,0,2025,NL
Milwaukee Brewers,42,35,0,0.55,4,2025,NL
St. Louis Cardinals,42,35,0,0.55,4,2025,NL
Cincinnati Reds,39,38,0,0.51,8,2025,NL
Pittsburgh Pirates,30,48,0,0.38,17,2025,NL
Los Angeles Dodgers,47,31,0,0.6,0,2025,NL
San Francisco Giants,43,34,0,0.56,4,2025,NL
San Diego Padres,41,35,0,0.54,5,2025,NL
Arizona Diamondbacks,39,37,0,0.51,7,2025,NL
Colorado Rockies,17,60,0,0.22,30,2025,NL
